"","Clade","numberTipsClade","numberTipsTrimmed","sackin","colless","Variance","I2","B1","B2","avgLadder","ILnumber","pitchforks","maxHeight","MaxWidth","DelW","Stairs1","Stairs2","Cherries","BS","descinm","getstattest","skewness","kurtosis","MeanPairwiseDist","MaxPairwiseDist","diameter","WienerIndex","betweenness","closeness","eigenvector","MeadianEp","MaxEp","MeanEp","allTrimmedSizes_3.4","Labels"
"1",12834,11912,9,1.25925925925926,0.444444444444444,0.00293315466883092,3.66666666666667,4.58333333333333,4.73874444807381,0,0.428571428571429,0.666666666666667,0.625,6,2,0.625,0.673958333333333,3,7.04897301720364,1.30913869219485,1.26955697014021,0.579203984642636,2.23055218885205,0.028411615085405,0.156163835616438,7,492,79,0.0263157894736842,0.460441245520301,0.433559156081492,0.433559156081492,0.433252669763136,28,3.11111111111111
"2",12934,8114,23,2.32085608689614,1.90382725878199,0.0342649142461333,19.9,4.59773965714368,11.2435474284596,0.857142857142857,0.904761904761905,0.130434782608696,0.954545454545455,4,2,0.909090909090909,0.21332700920901,2,23.4301230825981,2.31047207800745,7.84018928380116,2.66063219348312,8.26336575881226,0.0959164361809566,0.654795890410959,22,8520,505,0.00364963503649635,0.265387344131257,0.813658964664663,0.813658964664663,0.779812290508053,1365,59.3478260869565
"3",12935,8113,66,2.95792582868518,2.59984149129076,0.0360222269029776,48.0090778223876,20.320209705603,33.9057257187834,0.103125,0.65625,0.318181818181818,0.615384615384615,10,2,0.784615384615385,0.348880995739448,12,55.782407623038,-0.356805308675151,19.4208429952453,2.60075984090732,8.09297926930281,0.0964386171679434,0.893150082191781,41,136732,4503,0.000662251655629139,0.318785533090993,0.714167828372518,0.813658964664663,0.752773857880381,1443,21.8636363636364
"4",12953,8056,75,2.91600375958707,2.56497479591978,0.0426699365831297,54.6004601734442,23.790844626238,38.1487347620963,0.0639269406392694,0.643835616438356,0.32,0.554054054054054,8,2,0.783783783783784,0.354562726111678,14,65.5389192203211,-1.16220705706427,20.4562560737709,2.39662773817605,7.58230465236783,0.109330733822831,1.02465726027397,42,173620,6571,0.000640204865556978,0.31572309051171,0.705756778768972,0.813658964664663,0.725336044458589,1459,19.4533333333333
"5",13016,5446,41,2.23214206016398,1.82075751665253,0.00660167949526244,26.8355534386494,15.6492915110868,21.5748154265719,0.0833333333333333,0.487179487179487,0.292682926829268,0.65,6,2,0.725,0.406735869541055,11,31.9488373376194,-0.918373902967568,9.62827271386388,1.52439811646018,4.2275503810097,0.0456348779346931,0.273971506849315,27,34980,1733,0.00164473684210526,0.274675906635853,0.727641554561297,0.781306154393075,0.737025533563153,2273,55.4390243902439
"6",13055,5319,30,1.71011154065502,1.19890382031686,0.00927057164215471,19.3735930735931,11.7973956598957,15.7226876695718,0.107142857142857,0.571428571428571,0.3,0.586206896551724,6,2,0.724137931034483,0.448380208046845,7,23.9881657425439,-0.472499389420269,6.47457595853234,1.62615098155325,4.00348515794174,0.0537626353138508,0.317808567945206,21,14206,969,0.0031055900621118,0.311362025559308,0.729298479269934,0.729298479269934,0.721360012330711,2252,75.0666666666667
"7",13081,5258,26,2.49670925887457,2.07430527550002,0.00240514757119669,19.5238095238095,6.64535870476273,13.7449301236441,0.25,0.75,0,0.88,4,2,0.8,0.280447850919664,4,19.5604646425464,1.684113213723,8.57893383250076,3.28006961655866,13.1790497605937,0.0241386755288968,0.194521917808219,23,11370,681,0.00313479623824451,0.267971673085683,0.794729193403796,0.794729193403796,0.792657599541043,2388,91.8461538461538
"8",13174,4236,159,3.31685097171425,3.0275617140309,0.00630668144684077,111.701006666501,56.795328130999,83.9065493223974,0.0214244354371743,0.579617834394904,0.415094339622642,0.436708860759494,18,8,0.772151898734177,0.395414172399531,34,120.467198781468,-8.51527981731685,34.9458889430133,2.02301522054611,6.3785115933623,0.0415158582546967,0.345206849315068,73,1269908,31169,0.000188323917137476,0.279114136445837,0.799280865751036,0.799280865751036,0.794372217687455,1775,11.1635220125786
"9",13288,1647,66,1.46963780138961,1.00711219892181,0.0184390547434176,39.0378375921893,28.5612067456108,34.179296618301,0.065625,0.46875,0.318181818181818,0.323076923076923,14,4,0.692307692307692,0.496344423767121,18,55.7301563509582,-3.58862833139772,12.1474204601059,2.06262801299394,6.17780122284407,0.0768708983609444,0.49041205479452,30,97952,5267,0.00108813928182807,0.320080584509922,0.901848832819154,0.901848832819154,0.899073769567391,1622,24.5757575757576
"10",13311,489,160,1.5465514181761,1.206606569708,0.015218789808513,98.612139355323,67.3297387334302,83.8653732338952,0.0177215189873418,0.468354430379747,0.31875,0.283018867924528,22,6,0.70440251572327,0.472163810422465,43,125.104705050039,-13.3436533389475,27.1195659937042,1.78399669222364,5.59296179916817,0.0569686740785531,1.00000136986301,64,1276372,27497,0.000173731758165393,0.306560913268572,0.916948698830424,0.916948698830424,0.889166224140177,489,3.05625
"11",13312,353,123,2.59798145143202,2.29302651808108,0.0171473274292027,78.4207329880777,49.5154249030784,64.3268276687272,0.0222107438016529,0.487603305785124,0.365853658536585,0.434426229508197,12,4,0.704918032786885,0.446099765588084,32,97.2204213085418,-7.76806474346096,24.4320344329817,1.87593234487805,5.6784435933858,0.0608784998311326,1.04657693150685,56,648048,17763,0.000274273176083379,0.306607199175567,0.916948698830424,0.916948698830424,0.902456093237822,353,2.86991869918699
"12",13314,343,154,2.70526280779949,2.41432932208643,0.0195997936740563,100.309513903569,61.4776038000919,80.0052517450522,0.0178571428571429,0.5,0.38961038961039,0.38562091503268,14,4,0.725490196078431,0.441759178215955,39,126.562608805246,-10.81205950335,29.103587778108,1.91843910885745,6.06120347818597,0.0696564527848952,1.13698734246575,64,1120172,29339,0.000205592105263158,0.254860370071363,0.916948698830424,0.916948698830424,0.896719018998707,343,2.22727272727273
