"","Clade","numberTipsClade","numberTipsTrimmed","sackin","colless","Variance","I2","B1","B2","avgLadder","ILnumber","pitchforks","maxHeight","MaxWidth","DelW","Stairs1","Stairs2","Cherries","BS","descinm","getstattest","skewness","kurtosis","MeanPairwiseDist","MaxPairwiseDist","diameter","WienerIndex","betweenness","closeness","eigenvector","allTrimmedSizes_3.4","Labels"
"1",7284,2596,44,1.19234031719388,0.609875219714113,0.0240213145929886,24.5050522648084,19.9655122655123,22.5305640937889,0.0773809523809524,0.476190476190476,0.409090909090909,0.302325581395349,14,4,0.674418604651163,0.54920920262659,12,38.8224369672721,-2.19157514984086,7.38579709243615,2.10321535547739,7.88662186426532,0.0871320033822031,0.630138520547945,21,34592,2449,0.00204918032786885,0.314880919754431,360,8.18181818181818
"2",7300,2498,14,1.77537824984682,1.24085576602197,0.0688808138804407,10.8333333333333,4.01987734487734,7.0762001482682,0.833333333333333,0.833333333333333,0.214285714285714,0.923076923076923,4,2,0.846153846153846,0.322041847041847,2,12.1302327493072,2.10216005813966,3.89650333634848,1.40101925411012,3.60655896414207,0.136049827369304,0.797261369863014,14,1998,181,0.00952380952380952,0.346974777975039,948,67.7142857142857
"3",7302,2400,97,1.45393383852639,1.07501083669302,0.00951852287967788,63.5218998760781,39.7307014166347,51.046728497833,0.0315789473684211,0.557894736842105,0.43298969072165,0.322916666666667,14,4,0.75,0.468572090359563,22,74.7120856870242,-7.22008347495573,17.346551146056,1.55929211501867,5.15509152365752,0.0473705959639343,0.671233150684931,37,267218,10415,0.000559910414333707,0.320542684090749,1347,13.8865979381443
"4",7303,1811,11,1.61719721182619,1.01417452267066,0.0187600102527471,7.71428571428571,3.71785714285714,5.58298941510383,0.388888888888889,0.777777777777778,0.272727272727273,0.9,4,2,0.8,0.39468253968254,2,10.1758368010054,1.95724640209783,2.43954794712423,0.590186553345988,1.87547828964697,0.0734973205026605,0.408220273972603,10,934,109,0.0161290322580645,0.387229052514539,839,76.2727272727273
"5",7305,1057,19,1.23160025551565,0.531278541594985,0.0821364584520458,8.37782805429864,9.38452380952381,9.27871626194087,0.205882352941176,0.411764705882353,0.157894736842105,0.5,8,2,0.555555555555556,0.619510582010582,6,18.2907298834381,-0.319092877011643,2.32032426779431,2.08219456518679,7.57562492169081,0.157234817591925,0.761644164383562,13,4124,411,0.00680272108843537,0.374939635140558,175,9.21052631578947
"6",7336,114,24,1.4799000529315,0.884537962671703,0.00392265929951248,12.4270676691729,11.686544011544,11.7308726841976,0.113636363636364,0.363636363636364,0.375,0.521739130434783,8,4,0.652173913043478,0.561042208313697,8,25.5687081043556,-1.50121949906104,2.59084771032726,0.894850348713106,2.77825496158835,0.0348412751617199,0.194521095890411,14,6820,673,0.00546448087431694,0.374932107539917,114,4.75
"7",7337,112,93,1.31124214301396,0.907611483344695,0.0141171067055384,44.9198008475815,48.4533391301345,48.4240017163385,0.0274725274725275,0.318681318681319,0.419354838709677,0.260869565217391,18,4,0.576086956521739,0.602706441137588,32,76.7283901199925,-9.84831928488601,11.1697028946413,1.69700137977248,5.70900812107139,0.066554821040361,0.460276164383562,29,205240,10595,0.000733137829912023,0.2945446426231,112,1.20430107526882
"8",7373,8,8,1.32582521472478,0.618718433538229,0.0135269876153433,4.66666666666667,3.28333333333333,4.09819046474253,0.666666666666667,0.666666666666667,0.375,0.857142857142857,4,2,0.714285714285714,0.516666666666667,2,7.18415969058415,1.86663229001383,0.712857086479805,0.881698891533766,2.65841780951139,0.0598888056506849,0.320548767123288,8,388,55,0.0277777777777778,0.44879353750179,8,1
"9",7384,9,9,1.14814814814815,0.333333333333333,0.0202703244807942,3.92857142857143,4.58333333333333,4.49560884144518,0.285714285714286,0.428571428571429,0.666666666666667,0.625,6,2,0.625,0.666666666666667,3,8.78191090674304,0.75715635315981,-0.378377903822113,0.182979088763945,1.64815554840698,0.0717738055132759,0.413697260273973,8,526,81,0.024390243902439,0.4502252197641,9,1
"10",7392,20,20,1.11803398874989,0.357770876399966,0.0239485395991149,5.65367965367965,11.7833333333333,9.91497462890413,0.166666666666667,0.222222222222222,0.3,0.368421052631579,10,4,0.368421052631579,0.773110661268556,8,19.8653291240787,-0.743121887501668,2.36710387552098,1.32760396081074,3.73380883390292,0.0848423390410959,0.509589315068493,10,4088,471,0.0078125,0.387803440927481,20,1
"11",7415,8,8,1.1932426932523,0.397747564417433,0.0186946298165563,3.16666666666667,4.08333333333333,4.016109435992,0.333333333333333,0.333333333333333,0.375,0.714285714285714,4,2,0.571428571428571,0.666666666666667,3,7.70365465202137,1.17453940529887,-0.174049917259224,1.02093579986122,2.62400570440376,0.0686646061643836,0.304109589041096,7,370,61,0.0303030303030303,0.45765481804426,8,1
"12",7465,9,9,1.2962962962963,0.481481481481481,0.0709064431519422,2.16666666666667,5.08333333333333,3.53808821998551,0,0.142857142857143,0,0.625,4,2,0.375,0.744791666666667,4,14.0009262916227,0.679101164609755,0.490030400031917,1.84245222570784,4.66247700821869,0.117571391848469,0.898629315068493,6,478,81,0.0277777777777778,0.465323088887602,9,1
"13",7478,40,9,1.18518518518519,0.37037037037037,0.00697125245567857,2.64761904761905,5.08333333333333,4.48734398406711,0,0.142857142857143,0.333333333333333,0.625,4,2,0.5,0.731547619047619,4,9.00331875759013,0.625803742281473,0.490030400031917,0.956648517988471,2.02750536951645,0.0405883916793506,0.276712328767123,7,496,79,0.0263157894736842,0.472966105820249,40,4.44444444444444
"14",7482,11,9,1.25925925925926,0.518518518518518,0.174711888909814,5.42857142857143,3.78333333333333,4.02463792068194,0.571428571428571,0.714285714285714,0.666666666666667,0.75,4,2,0.75,0.535416666666667,2,9.82983464033727,1.84552052652955,0.763141944905827,1.81245495185901,4.58639876111103,0.204904447826822,0.884931506849315,9,556,71,0.0217391304347826,0.426506182851299,11,1.22222222222222
"15",7493,9,9,1.25925925925926,0.444444444444444,0.0638257945425804,3.71428571428571,4.58333333333333,4.11679695528115,0,0.428571428571429,0.666666666666667,0.625,4,2,0.5,0.681547619047619,3,10.3583469514735,0.747248765911311,-0.444957266062004,0.464527960593704,1.64522305910139,0.10823608997125,0.813699178082192,7,508,85,0.0263157894736842,0.483924152536,9,1
"16",7504,11,11,1.28827574501408,0.520792322452501,0.0153941429646128,5.7,5.28333333333333,5.6622185542461,0.222222222222222,0.555555555555556,0.818181818181818,0.6,6,2,0.7,0.611190476190476,3,9.64034811250104,1.18615180584927,-0.119427492984867,1.10975170139993,3.59298821143555,0.0665687852371788,0.383561643835616,8,862,131,0.0192307692307692,0.448915155462138,11,1
"17",7519,10,8,1.41421356237309,0.707106781186547,0.00253429772592553,4.5,3.28333333333333,4.21649281108639,0.333333333333333,0.666666666666667,0.375,0.857142857142857,4,2,0.714285714285714,0.520408163265306,2,6.21608858905486,1.77678092285966,1.70033380707088,1.75611468746999,4.13717808056148,0.0253421489726028,0.126027397260274,7,360,61,0.03125,0.472501903845905,10,1.25
"18",7539,180,38,1.25081253661351,0.670230608356045,0.0554261645985601,19.3282019704433,19.8032106782107,19.2270788012712,0.0648148148148148,0.388888888888889,0.631578947368421,0.324324324324324,12,4,0.648648648648649,0.611526110008083,12,33.3194836446304,-2.0506772156366,5.58577052497061,1.3690887532864,3.31831680958929,0.125729668383106,0.920549589041096,15,20606,1659,0.00294117647058824,0.324720202418835,180,4.73684210526316
"19",7543,155,39,0.960768922830523,0.320256307610174,0.0581692590877116,18.6281247634189,20.1440476190476,19.8350617958173,0.0743243243243243,0.405405405405405,0.461538461538462,0.236842105263158,16,6,0.631578947368421,0.638090745551904,12,33.1331743686507,-2.53234424465758,5.45355751233688,1.25032495111671,3.24395802968886,0.121826810566228,0.956165205479452,17,23164,1683,0.00263852242744063,0.330494750741649,155,3.97435897435897
"20",7545,72,40,1.45464772367745,0.91706052144883,0.00657594603805321,20.9612775303527,19.318228993229,21.0612251434298,0.0789473684210526,0.421052631578947,0.525,0.41025641025641,10,4,0.641025641025641,0.576085016887213,12,30.9953335425654,-2.73548877388207,5.22779422648242,1.78002997880929,5.21581136539399,0.0439004782945206,0.347941917808219,21,27232,1787,0.0022271714922049,0.336069561899673,72,1.8
"21",7546,63,44,1.55895070207821,1.03815837962571,0.00804560731294594,22.7272065785378,21.580728993229,23.0933368874698,0.0555555555555556,0.380952380952381,0.545454545454545,0.395348837209302,10,4,0.651162790697674,0.573765327090728,14,34.8847721419178,-2.55725478050804,7.94056500129998,2.60280602549576,9.99879488728196,0.0489824003283143,0.402736438356164,19,32138,2323,0.00217864923747277,0.311088389196951,63,1.43181818181818
"22",7547,61,61,1.58681772506999,1.09985778827602,0.0125965925021525,28.6702720155661,31.6451080781963,28.9253161228452,0.0372881355932203,0.322033898305085,0.491803278688525,0.316666666666667,12,2,0.633333333333333,0.60988126851719,21,69.5784407264327,-4.86054282457859,9.80535543952622,2.15385628162941,7.16786147872418,0.0638332143001771,0.427397002739726,21,70240,4401,0.00139082058414465,0.310173695854957,61,1
"23",7617,11,11,1.2334555005454,0.465972077983817,0.0213313346870851,7.11111111111111,4.36666666666667,5.49393074749346,0.388888888888889,0.777777777777778,0.545454545454545,0.6,4,2,0.8,0.52,2,10.7278474686397,1.48809899889796,1.63954563983147,0.885707172998566,2.25814598090517,0.0779349167893128,0.452054794520548,11,1010,109,0.0144927536231884,0.370873474440155,11,1
"24",7627,71,31,1.1239815675224,0.463497553617484,0.0684395979556381,14.9064367816092,15.7511904761905,15.6176700746593,0.0919540229885057,0.448275862068966,0.483870967741935,0.3,10,4,0.566666666666667,0.642925284591951,9,26.9915257274549,-1.07982815248406,4.39657463010565,1.48482202121332,4.22625405564815,0.136233439482274,0.997259452054795,13,13004,1193,0.00387596899224806,0.355760357500729,71,2.29032258064516
"25",7629,54,41,1.0398887072095,0.415193659655075,0.0385000992539232,24.035409035409,19.0384920634921,20.9669023300744,0.0769230769230769,0.538461538461538,0.585365853658537,0.25,16,4,0.725,0.560128205128205,10,35.1868100182845,-1.59232064855349,6.87898360592866,1.41288091736262,3.79595386813842,0.0922738993586662,0.884930219178082,18,28730,1921,0.0021505376344086,0.336867723987529,54,1.31707317073171
"26",7631,27,27,1.11906163287372,0.463305771571922,0.027609776509072,10.3258874458874,15.1345238095238,12.7814340349336,0.12,0.28,0.444444444444444,0.346153846153846,12,4,0.538461538461538,0.69064847922314,10,30.2037713036024,-1.27015217010063,2.90227561540009,2.0039704672639,6.48131010184269,0.0809591485427589,0.816439452054795,14,9066,815,0.00462962962962963,0.344785865888786,27,1
"27",7657,26,26,1.43315637216365,0.829722110200009,0.047924529209779,17.2435897435897,10.0532106782107,12.5691020418443,0.194444444444444,0.666666666666667,0.461538461538462,0.48,8,2,0.8,0.466145338837289,5,26.7156401864776,0.258191642010469,5.31913759061756,1.75854074702853,5.08681002969731,0.112385696887412,1.00273898630137,19,10028,811,0.00392156862745098,0.385120609060984,26,1
"28",7703,13,13,1.40808511349481,0.640038687952187,0.0136696903546304,5.77777777777778,6.28333333333333,6.78200463173967,0.181818181818182,0.454545454545455,0.461538461538462,0.583333333333333,6,2,0.666666666666667,0.628409090909091,4,10.6348994453318,0.667030182726531,1.98642288730837,1.44933351455097,3.99032304259836,0.0632245116316771,0.394520273972603,9,1348,179,0.0142857142857143,0.410214578299505,13,1
"29",7721,12,12,1.27498184446042,0.505181485540923,0.0105145727166749,5.22222222222222,6.28333333333333,6.1004412317311,0,0.4,0.75,0.545454545454545,6,2,0.636363636363636,0.657506887052342,4,11.1582778573805,-0.361572389848894,-0.0295688265163767,0.718036636049807,1.744698236157,0.054889446347032,0.306849315068493,8,1062,157,0.0172413793103448,0.43752121018954,12,1
"30",7738,12,9,1.11111111111111,0.148148148148148,0.00878426304765955,1.14285714285714,5.33333333333333,4.6692238523516,0,0.142857142857143,0,0.5,6,2,0.25,0.88125,4,7.67176840346698,0.801175104917975,-0.444957266062004,0.374361692398096,1.5603991643043,0.0496534280399121,0.232877534246575,7,524,71,0.0232558139534884,0.429933619389533,12,1.33333333333333
"31",7768,375,16,1.25,0.5625,0.113612366890024,9.37142857142857,7.42619047619048,7.8098843021101,0.142857142857143,0.571428571428571,0.75,0.533333333333333,6,2,0.733333333333333,0.556746031746032,4,14.6401707986501,0.130281895838296,2.14045181125102,0.941005812047622,2.03917961986487,0.169102981592466,0.854794410958904,12,2568,261,0.00892857142857143,0.389364840287139,375,23.4375
"32",7777,173,154,1.47664441849326,1.13338476628505,0.0198723841825899,78.4570387375987,78.3366898726231,78.3681119187031,0.0156882591093117,0.328947368421053,0.38961038961039,0.202614379084967,18,6,0.601307189542484,0.57954409308887,52,139.363461717301,-13.2854123694616,24.3002913156991,1.68498932924028,5.02987530677214,0.0678366065085244,1.36438093150685,36,755108,30075,0.000328299409061064,0.238709671774465,173,1.12337662337662
"33",7835,31,29,1.3318838048561,0.653135327381355,0.0540119482404701,12.993265993266,14.6956349206349,13.346707714577,0.0833333333333333,0.407407407407407,0.413793103448276,0.357142857142857,12,4,0.535714285714286,0.652336691086691,9,33.8174226167111,-1.28065483435887,4.16110136451315,1.82109334394618,5.44639072097124,0.122339830143502,0.917810246575342,13,10968,985,0.00421940928270042,0.350033054953536,31,1.06896551724138
"34",7949,40,21,1.12226343549939,0.37408781183313,0.00385242257493101,10.6081871345029,10.3761904761905,10.5147777162069,0.131578947368421,0.473684210526316,0.714285714285714,0.4,10,2,0.7,0.623510101010101,6,20.7884572019386,0.38061197123164,4.04570937457383,2.25984067229578,6.63261956633191,0.0337467673096636,0.219180547945205,14,5264,475,0.00571428571428571,0.386215821676057,40,1.9047619047619
